OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
3865,2021/07/13 23:00:00+00,0935,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,360890,170100,MCYC
3866,2021/11/04 00:00:00+00,2359,1,Fatal,J2,Turning Movement from minor road,2,2,0,0,0,0,0,359515,173587,CARS
3867,2021/11/16 00:00:00+00,1810,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358105,171798,CYC
3868,2021/11/16 00:00:00+00,1639,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,358755,168433,CARS
3869,2020/06/18 23:00:00+00,1435,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,359662,173656,CARS
3870,2020/06/19 23:00:00+00,1503,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,360394,177874,MCYC
3871,2021/01/07 00:00:00+00,1630,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,360938,175177,A
3872,2021/01/09 00:00:00+00,1936,1,Fatal,LC,Loss of Control,2,1,0,0,0,0,0,356734,172023,CARS
3873,2020/06/22 23:00:00+00,1348,3,Slight,NT,Nose to Tail,2,2,0,0,2,0,0,359201,173532,MCYC
3874,2020/11/21 00:00:00+00,2259,3,Slight,NONE,Other,5,1,0,0,0,0,1,360498,172939,CARS
3875,2021/01/05 00:00:00+00,1530,2,Serious,NT,Nose to Tail,2,1,0,1,0,0,0,359003,172913,CYC
3876,2020/06/22 23:00:00+00,1535,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,358235,168412,CARS
3877,2020/06/22 23:00:00+00,1420,2,Serious,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358994,174962,CYC
3878,2021/01/14 00:00:00+00,0820,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,358829,171925,CYC
3879,2021/01/06 00:00:00+00,2030,2,Serious,J,Turning movement ¿ unidentified priority,4,1,0,1,0,0,0,360755,175345,CYC
3880,2021/01/09 00:00:00+00,1230,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,362514,175339,CYC
3881,2021/01/19 00:00:00+00,1430,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,1,0,0,359023,178220,MCYC
3882,2020/12/29 00:00:00+00,1510,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,360013,173506,A
3883,2021/01/08 00:00:00+00,1125,2,Serious,LC,Loss of Control,4,1,0,0,0,0,0,356601,169269,CARS
3884,2020/09/16 23:00:00+00,1415,3,Slight,HO,Head On,2,1,0,0,1,0,0,360891,173210,MCYC
3885,2020/05/23 23:00:00+00,1550,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,1,0,359210,170737,CARS
3886,2020/06/27 23:00:00+00,1529,3,Slight,J,Turning movement ¿ unidentified priority,3,1,0,0,0,0,0,362802,175496,CARS
3887,2020/06/30 23:00:00+00,1853,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,360517,172493,MCYC
