OBJECTID,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,X,Y,RENDER
1,2017/02/02 00:00:00+00,0720,3,Slight,LC,Loss of Control,2,2,0,1,1,0,0,360035,175918,CYC
2,2017/02/02 00:00:00+00,1803,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359039,172053,CYC
3,2017/02/03 00:00:00+00,2021,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,362596,175377,CYC
4,2017/02/03 00:00:00+00,1543,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,355175,175088,CARS
5,2017/01/17 00:00:00+00,0624,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359476,172742,A
6,2017/02/04 00:00:00+00,1730,3,Slight,A,Adult pedestrian,1,1,1,0,1,0,0,359343,169627,A
7,2017/02/08 00:00:00+00,0805,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359375,172970,CYC
8,2017/02/14 00:00:00+00,0650,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359674,171459,CYC
9,2017/02/15 00:00:00+00,0810,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,361579,170924,MCYC
10,2017/02/18 00:00:00+00,1221,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,1,363277,175727,CARS
11,2017/02/23 00:00:00+00,1240,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359111,172368,A
12,2017/02/05 00:00:00+00,1957,3,Slight,HO,Head On,2,1,0,0,0,0,0,362415,172387,CARS
13,2017/01/11 00:00:00+00,2310,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,362192,171231,A
14,2017/02/17 00:00:00+00,0720,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,359715,173722,CYC
15,2017/02/22 00:00:00+00,1940,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,360257,172554,A
16,2017/02/07 00:00:00+00,1500,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,360906,173366,MCYC
17,2017/02/07 00:00:00+00,1639,3,Slight,NT,Nose to Tail,4,3,0,0,0,0,0,360969,170037,CARS
18,2017/02/07 00:00:00+00,1520,3,Slight,LC,Loss of Control,1,1,0,0,1,0,0,357580,170691,MCYC
19,2017/02/08 00:00:00+00,2150,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,361173,171978,CARS
20,2017/02/28 00:00:00+00,0630,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,356757,172206,CARS
21,2017/01/22 00:00:00+00,1620,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,358920,174598,MCYC
22,2017/02/06 00:00:00+00,1205,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,357797,174626,CARS
23,2017/02/13 00:00:00+00,1145,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,361058,174793,CYC
24,2017/02/16 00:00:00+00,1915,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,353335,176859,CARS
25,2017/02/17 00:00:00+00,1725,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,1,0,0,359986,171783,CYC
26,2017/02/08 00:00:00+00,1720,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,358475,168024,MCYC
27,2017/02/10 00:00:00+00,1555,3,Slight,J1,Turning Movement from major road,2,3,0,0,0,1,0,361483,175144,CARS
28,2017/02/11 00:00:00+00,0940,2,Serious,J2,Turning Movement from minor road,2,1,0,0,0,0,1,357958,169533,CARS
29,2017/02/11 00:00:00+00,1608,2,Serious,J2,Turning Movement from minor road,2,1,0,0,1,0,0,361262,171534,MCYC
30,2017/02/16 00:00:00+00,1719,3,Slight,NT,Nose to Tail,5,1,0,0,0,0,0,361015,174971,CARS
31,2017/02/14 00:00:00+00,2030,3,Slight,LC,Loss of Control,1,1,0,0,1,0,0,357132,171886,MCYC
32,2017/02/11 00:00:00+00,1700,3,Slight,LC,Loss of Control,3,1,0,0,0,0,0,358842,169852,CARS
33,2017/02/13 00:00:00+00,1050,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,359519,173378,E
34,2017/02/15 00:00:00+00,2245,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,358990,172924,CYC
35,2017/02/25 00:00:00+00,1930,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359885,174378,CARS
36,2017/03/07 00:00:00+00,1556,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,358460,172764,CYC
37,2017/02/11 00:00:00+00,1640,2,Serious,NONE,Other,2,1,1,0,0,0,0,362092,170584,CARS
38,2017/02/09 00:00:00+00,1914,3,Slight,HO,Head On,2,4,0,0,0,2,0,359602,171560,CARS
39,2017/02/28 00:00:00+00,0610,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,1,357664,175032,CYC
40,2017/02/14 00:00:00+00,1726,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359131,174079,A
41,2017/02/03 00:00:00+00,1611,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,359118,172830,CARS
42,2017/01/22 00:00:00+00,0232,2,Serious,NK,NOT KNOWN,1,1,1,0,0,0,0,359085,173843,CARS
43,2017/02/22 00:00:00+00,1900,3,Slight,NONE,Other,2,1,0,1,0,0,0,359280,170075,CYC
44,2017/03/04 00:00:00+00,1150,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,356643,176163,CYC
45,2017/02/21 00:00:00+00,1630,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360600,175208,CYC
46,2017/02/23 00:00:00+00,1220,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,358578,173286,E
47,2017/02/21 00:00:00+00,1858,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,361611,173828,A
48,2017/01/08 00:00:00+00,0325,3,Slight,LC,Loss of Control,3,1,0,0,0,0,0,358733,177486,CARS
49,2017/01/04 00:00:00+00,2040,3,Slight,LC,Loss of Control,3,1,0,0,1,0,0,359860,177060,MCYC
50,2017/01/09 00:00:00+00,0730,3,Slight,J1,Turning Movement from major road,2,2,0,0,0,0,0,358154,172560,CARS
51,2017/01/10 00:00:00+00,0830,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,359430,176539,CYC
52,2017/01/06 00:00:00+00,2030,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,360728,174513,A
53,2017/01/10 00:00:00+00,0023,3,Slight,NT,Nose to Tail,1,2,1,0,1,0,0,358348,172844,MCYC
54,2017/01/06 00:00:00+00,1832,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,361304,175211,A
55,2017/01/06 00:00:00+00,0745,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,360518,173454,CARS
56,2017/01/06 00:00:00+00,2245,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359102,173536,CYC
57,2017/01/13 00:00:00+00,0730,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,357071,172206,CYC
58,2017/01/08 00:00:00+00,1145,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,356018,179052,CARS
59,2017/01/10 00:00:00+00,1813,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,357747,168112,E
60,2017/01/11 00:00:00+00,2046,3,Slight,A,Adult pedestrian,2,1,1,0,0,0,0,358866,171868,A
61,2017/01/12 00:00:00+00,1020,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,356842,172365,CARS
62,2017/01/09 00:00:00+00,1434,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,362360,170289,A
63,2017/01/22 00:00:00+00,2030,3,Slight,NONE,Other,2,1,0,1,0,0,0,357450,174623,CYC
64,2017/01/11 00:00:00+00,1205,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,1,0,361168,171535,CARS
65,2017/01/13 00:00:00+00,1246,3,Slight,NONE,Other,2,1,0,0,1,0,0,360429,173961,MCYC
66,2017/01/12 00:00:00+00,1325,3,Slight,NONE,Other,2,1,0,0,0,0,0,363357,175857,CARS
67,2017/01/12 00:00:00+00,1410,3,Slight,NONE,Other,2,1,0,0,0,0,0,359050,167841,CARS
68,2017/01/14 00:00:00+00,0952,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358975,172020,CYC
69,2017/01/16 00:00:00+00,1615,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,357929,173977,A
70,2017/01/20 00:00:00+00,1139,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359550,173061,CARS
71,2017/01/13 00:00:00+00,0255,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,359441,173681,CARS
72,2017/01/20 00:00:00+00,1420,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,354550,177197,CARS
73,2017/01/30 00:00:00+00,1320,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,359906,171625,CARS
74,2017/01/23 00:00:00+00,0730,3,Slight,HO,Head On,2,1,0,0,0,0,0,362087,168342,CARS
75,2017/01/19 00:00:00+00,1750,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359168,172802,CYC
76,2017/01/20 00:00:00+00,1200,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,359779,177725,CARS
77,2017/01/22 00:00:00+00,0955,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,1,359853,174544,CARS
78,2017/01/10 00:00:00+00,1710,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,358736,177625,CYC
79,2017/01/13 00:00:00+00,1400,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,363709,176003,E
80,2017/01/17 00:00:00+00,1820,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360629,173419,CYC
81,2017/01/24 00:00:00+00,0835,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,352140,177100,CARS
82,2017/01/25 00:00:00+00,1510,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358878,174739,A
83,2017/01/24 00:00:00+00,2140,2,Serious,J,Turning movement ¿ unidentified priority,2,2,0,0,1,0,1,357713,167559,MCYC
84,2017/01/26 00:00:00+00,0905,3,Slight,NT,Nose to Tail,2,3,0,0,0,0,0,358754,171731,CARS
85,2017/01/14 00:00:00+00,1220,2,Serious,J1,Turning Movement from major road,2,1,0,1,0,0,0,359061,172412,CYC
86,2017/01/20 00:00:00+00,0854,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,363054,174928,C
87,2017/01/24 00:00:00+00,1516,2,Serious,LC,Loss of Control,2,2,0,0,0,0,0,356859,172398,CARS
88,2017/02/08 00:00:00+00,1820,3,Slight,LC,Loss of Control,3,1,0,0,0,0,1,360867,173787,CARS
89,2017/01/28 00:00:00+00,1500,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358766,174381,A
90,2017/01/27 00:00:00+00,1845,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359711,176415,A
91,2017/01/31 00:00:00+00,1520,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,358072,167487,CYC
92,2017/01/31 00:00:00+00,2010,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,358810,173588,CARS
93,2017/01/31 00:00:00+00,0710,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359234,174118,A
94,2017/01/16 00:00:00+00,1807,3,Slight,J,Turning movement ¿ unidentified priority,2,2,0,0,0,0,0,359581,173587,CARS
95,2017/01/26 00:00:00+00,1410,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,361371,173787,A
96,2017/02/06 00:00:00+00,2015,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358969,171986,CYC
97,2017/01/27 00:00:00+00,2015,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,364227,176304,CARS
98,2017/01/28 00:00:00+00,0139,3,Slight,LC,Loss of Control,1,1,0,0,0,0,0,363708,172741,CARS
99,2017/02/08 00:00:00+00,2238,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,361195,175281,CARS
100,2017/02/08 00:00:00+00,1545,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,357174,179151,CYC
101,2017/01/24 00:00:00+00,2200,1,Fatal,J,Turning movement ¿ unidentified priority,2,2,0,0,1,0,0,356940,179071,MCYC
102,2017/01/26 00:00:00+00,0837,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,362883,170418,C
103,2017/01/28 00:00:00+00,0200,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,358535,172787,CARS
104,2017/02/01 00:00:00+00,0830,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,359558,172967,CYC
105,2017/02/01 00:00:00+00,0740,3,Slight,J2,Turning Movement from minor road,2,2,0,0,0,0,0,359450,174198,CARS
106,2017/01/05 00:00:00+00,1600,3,Slight,O,Overtaking,2,1,0,1,0,0,0,359648,175931,CYC
107,2017/01/05 00:00:00+00,0827,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,358954,178358,C
108,2017/01/04 00:00:00+00,0820,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,360427,177981,C
109,2017/01/05 00:00:00+00,2030,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,356893,172425,CYC
110,2017/01/05 00:00:00+00,1818,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,352942,178020,CARS
111,2017/01/03 00:00:00+00,2018,2,Serious,J2,Turning Movement from minor road,2,1,0,0,0,0,0,363386,172547,CARS
112,2017/01/18 00:00:00+00,1129,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,357924,172088,A
113,2017/01/16 00:00:00+00,1135,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,360692,170723,E
114,2017/01/05 00:00:00+00,0630,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,361408,170273,MCYC
115,2017/01/20 00:00:00+00,1544,3,Slight,NONE,Other,2,1,0,1,0,0,0,359939,174315,CYC
116,2017/01/20 00:00:00+00,1525,3,Slight,NONE,Other,2,1,0,0,0,1,0,361567,169079,CARS
117,2017/01/16 00:00:00+00,0800,3,Slight,LC,Loss of Control,2,1,0,0,0,0,1,363256,175544,CARS
118,2017/02/07 00:00:00+00,0810,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,357597,170694,C
119,2017/02/09 00:00:00+00,2100,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359625,173331,CYC
120,2017/02/13 00:00:00+00,0830,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,359892,171878,A
121,2017/03/15 00:00:00+00,1703,3,Slight,O,Overtaking,2,1,0,1,0,0,0,356956,177046,CYC
122,2017/03/08 00:00:00+00,0620,2,Serious,A,Adult pedestrian,2,1,1,0,0,0,0,358753,173536,A
123,2017/03/13 00:00:00+00,1940,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358556,177686,A
124,2017/03/13 00:00:00+00,1210,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,359467,172476,CARS
125,2017/03/28 23:00:00+00,0320,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358639,173375,CYC
126,2017/03/10 00:00:00+00,1921,2,Serious,E,Elderly pedestrian,1,2,1,0,1,0,1,361596,168365,E
127,2017/02/13 00:00:00+00,1925,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,359767,174832,CYC
128,2017/03/22 00:00:00+00,0657,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,1,0,0,361880,170426,MCYC
129,2017/02/24 00:00:00+00,1948,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,360646,170310,CARS
130,2017/03/09 00:00:00+00,1015,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,352056,178322,CARS
131,2017/03/12 00:00:00+00,1910,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,364321,175965,CARS
132,2017/03/19 00:00:00+00,1443,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,361713,173953,CARS
133,2017/03/22 00:00:00+00,1445,3,Slight,NONE,Other,2,1,0,0,0,0,0,358379,170259,CARS
134,2017/03/05 00:00:00+00,2132,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,359668,176776,CARS
135,2017/03/27 23:00:00+00,0905,3,Slight,NONE,Other,2,1,0,1,0,0,0,358850,171855,CYC
136,2017/03/16 00:00:00+00,0650,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,1,358804,174478,CYC
137,2017/03/28 23:00:00+00,2100,3,Slight,J,Turning movement ¿ unidentified priority,2,2,0,0,0,0,0,358734,168614,CARS
138,2017/03/21 00:00:00+00,2000,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,362008,168171,A
139,2017/03/22 00:00:00+00,1615,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,357127,172451,MCYC
140,2017/03/26 00:00:00+00,1335,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,356392,173294,MCYC
141,2017/03/31 23:00:00+00,1213,3,Slight,J2,Turning Movement from minor road,2,1,0,0,0,0,0,363624,176000,CARS
142,2017/04/05 23:00:00+00,0850,3,Slight,NONE,Other,2,1,0,0,1,0,0,359131,178476,MCYC
143,2017/03/29 23:00:00+00,0943,3,Slight,LC,Loss of Control,3,1,0,0,0,0,0,359663,174224,CARS
144,2017/03/20 00:00:00+00,0926,3,Slight,NONE,Other,2,1,0,1,0,0,0,360171,173633,CYC
145,2017/02/17 00:00:00+00,1927,3,Slight,J2,Turning Movement from minor road,2,4,0,0,0,0,0,360400,171153,CARS
146,2017/03/23 00:00:00+00,1325,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358631,172722,A
147,2017/03/13 00:00:00+00,0955,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,361497,174066,CYC
148,2017/03/23 00:00:00+00,2240,3,Slight,LC,Loss of Control,1,1,0,0,0,0,1,361661,176170,CARS
149,2017/03/24 00:00:00+00,2243,3,Slight,A,Adult pedestrian,2,1,1,0,0,0,0,358535,172799,A
150,2017/03/26 23:00:00+00,1645,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,357613,170579,CYC
151,2017/04/02 23:00:00+00,1215,3,Slight,A,Adult pedestrian,2,1,0,1,0,0,0,360181,173654,A
152,2017/04/02 23:00:00+00,0630,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,354629,176572,CARS
153,2017/03/06 00:00:00+00,1945,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,359063,175361,MCYC
154,2017/03/01 00:00:00+00,1250,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,357688,176500,A
155,2017/04/06 23:00:00+00,1030,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,1,0,359029,174936,CYC
156,2017/04/08 23:00:00+00,1530,2,Serious,NONE,Other,2,1,0,1,0,0,0,357809,173862,CYC
157,2017/04/10 23:00:00+00,1725,3,Slight,NONE,Other,2,1,0,1,0,0,0,362402,172389,CYC
158,2017/04/09 23:00:00+00,2019,2,Serious,J1,Turning Movement from major road,2,1,0,1,0,0,0,359127,170986,CYC
159,2017/04/05 23:00:00+00,1502,3,Slight,LC,Loss of Control,1,2,0,0,0,1,1,359489,173359,CARS
160,2017/01/12 00:00:00+00,0715,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,351906,179604,CARS
161,2017/04/09 23:00:00+00,0820,2,Serious,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,360114,174701,CYC
162,2017/03/30 23:00:00+00,2230,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358865,172929,A
163,2017/03/22 00:00:00+00,0809,3,Slight,LC,Loss of Control,4,1,0,0,0,0,0,363167,174595,CARS
164,2017/03/25 00:00:00+00,1310,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,361122,168852,MCYC
165,2017/04/17 23:00:00+00,1105,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,358554,172874,CARS
166,2017/04/17 23:00:00+00,1710,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,358405,171707,CYC
167,2017/04/17 23:00:00+00,1655,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,357022,168270,CARS
168,2017/04/07 23:00:00+00,1220,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,357564,176351,A
169,2017/03/25 00:00:00+00,2010,3,Slight,LC,Loss of Control,4,1,0,0,0,0,0,357127,167646,CARS
170,2017/03/26 23:00:00+00,1903,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,358643,172578,CYC
171,2017/04/03 23:00:00+00,2120,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,360579,173652,CYC
172,2017/03/11 00:00:00+00,1900,3,Slight,J,Turning movement ¿ unidentified priority,2,4,0,0,0,0,0,360733,170714,CARS
173,2017/04/06 23:00:00+00,1651,3,Slight,NONE,Other,2,1,0,0,0,0,0,355045,175476,CARS
174,2017/04/20 23:00:00+00,1040,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,359472,172589,CYC
175,2017/04/20 23:00:00+00,1810,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,358193,177263,CYC
176,2017/04/21 23:00:00+00,1647,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358567,171595,A
177,2017/04/25 23:00:00+00,2300,1,Fatal,LC,Loss of Control,1,2,0,0,0,0,2,360506,172491,CARS
178,2017/03/29 23:00:00+00,0722,3,Slight,J2,Turning Movement from minor road,2,1,0,0,1,0,0,360193,172763,MCYC
179,2017/03/30 23:00:00+00,1245,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,362757,173743,MCYC
180,2017/04/25 23:00:00+00,1605,3,Slight,C,Child pedestrian,1,2,2,0,0,2,0,358458,177587,C
181,2017/03/31 23:00:00+00,1825,3,Slight,J,Turning movement ¿ unidentified priority,3,2,0,0,0,0,1,359822,176127,CARS
182,2017/04/01 23:00:00+00,1840,2,Serious,J2,Turning Movement from minor road,2,1,0,1,0,0,0,359223,175072,CYC
183,2017/04/02 23:00:00+00,1225,3,Slight,NT,Nose to Tail,3,1,0,0,0,0,0,363971,173842,CARS
184,2017/04/03 23:00:00+00,0944,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,1,0,0,361791,170700,MCYC
185,2017/04/19 23:00:00+00,2335,3,Slight,LC,Loss of Control,2,1,0,0,0,0,0,362657,173720,CARS
186,2017/04/01 23:00:00+00,1800,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,360744,170714,CARS
187,2017/04/04 23:00:00+00,0841,3,Slight,LC,Loss of Control,2,1,0,1,0,0,0,352757,179555,CYC
188,2017/03/19 00:00:00+00,2030,2,Serious,A,Adult pedestrian,1,1,1,0,0,0,0,357448,171274,A
189,2017/04/05 23:00:00+00,1900,3,Slight,NT,Nose to Tail,2,1,0,0,1,0,0,360114,174200,MCYC
190,2017/04/05 23:00:00+00,1527,3,Slight,C,Child pedestrian,1,1,1,0,0,1,0,357238,172516,C
191,2017/04/06 23:00:00+00,0846,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,362218,175232,MCYC
192,2017/04/16 23:00:00+00,1216,3,Slight,LC,Loss of Control,3,1,0,0,0,0,0,355193,176722,CARS
193,2017/05/08 23:00:00+00,0815,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,359889,173060,CYC
194,2017/05/09 23:00:00+00,1355,3,Slight,C,Child pedestrian,1,2,1,1,0,1,0,358030,173473,C
195,2017/05/04 23:00:00+00,1221,3,Slight,J1,Turning Movement from major road,2,1,0,0,0,0,0,361485,175142,CARS
196,2017/04/17 23:00:00+00,2215,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,361801,170703,CARS
197,2017/05/20 23:00:00+00,0855,1,Fatal,LC,Loss of Control,1,1,0,0,0,0,0,354878,178073,CARS
198,2017/05/25 23:00:00+00,1008,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,356788,172238,CYC
199,2017/05/22 23:00:00+00,1455,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,358861,174760,CYC
200,2017/04/17 23:00:00+00,1220,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,1,359173,172800,MCYC
201,2017/04/18 23:00:00+00,1225,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,357460,171638,CYC
202,2017/05/14 23:00:00+00,0845,3,Slight,NONE,Other,2,1,0,1,0,0,0,357798,173513,CYC
203,2017/05/14 23:00:00+00,1030,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,358010,178238,A
204,2017/05/15 23:00:00+00,0705,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,351618,178293,CYC
205,2017/05/16 23:00:00+00,0805,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,359050,173663,CYC
206,2017/05/16 23:00:00+00,1850,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,361169,171544,CYC
207,2017/05/16 23:00:00+00,1720,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,363663,173038,CYC
208,2017/04/20 23:00:00+00,1735,3,Slight,LC,Loss of Control,3,1,0,0,1,0,0,363388,175903,MCYC
209,2017/04/19 23:00:00+00,2100,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,358406,171704,CYC
210,2017/06/01 23:00:00+00,1030,3,Slight,E,Elderly pedestrian,1,1,1,0,0,0,1,357882,171838,E
211,2017/04/19 23:00:00+00,0819,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,360586,171943,CYC
212,2017/04/20 23:00:00+00,1811,2,Serious,NT,Nose to Tail,2,1,0,1,0,0,0,358167,173074,CYC
213,2017/04/21 23:00:00+00,1105,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,0,361576,173429,CARS
214,2017/05/17 23:00:00+00,1608,1,Fatal,A,Adult pedestrian,1,1,1,0,0,0,0,357581,168437,A
215,2017/04/23 23:00:00+00,1649,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,0,0,0,0,354663,177040,CARS
216,2017/05/31 23:00:00+00,1727,1,Fatal,LC,Loss of Control,2,1,0,1,0,0,0,358687,173449,CYC
217,2017/04/23 23:00:00+00,1540,3,Slight,J2,Turning Movement from minor road,2,3,0,0,0,3,0,360522,174273,CARS
218,2017/05/20 23:00:00+00,1140,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,361778,173554,CYC
219,2017/05/21 23:00:00+00,1650,3,Slight,O,Overtaking,2,1,0,1,0,0,0,357015,177764,CYC
220,2017/05/23 23:00:00+00,1700,3,Slight,O,Overtaking,2,1,0,0,1,0,0,357688,170620,MCYC
221,2017/05/23 23:00:00+00,1725,3,Slight,NONE,Other,2,1,0,1,0,0,0,359282,174147,CYC
222,2017/06/01 23:00:00+00,1215,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,358651,173395,CYC
223,2017/04/27 23:00:00+00,1429,3,Slight,HO,Head On,2,1,0,0,0,0,0,356767,170322,CARS
224,2017/04/13 23:00:00+00,1500,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,1,360327,175609,CARS
